"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mept_cr_calc","meme_ck","Member Capitated Relationship Date","Member Contrived Key","int"
"dbo","cmc_mept_cr_calc","mepr_pcp_type","Member Capitated Relationship Date","PCP Type","char"
"dbo","cmc_mept_cr_calc","mepr_eff_dt","Member Capitated Relationship Date","Effective Date","datetime"
"dbo","cmc_mept_cr_calc","mept_action","Member Capitated Relationship Date","Action","char"
"dbo","cmc_mept_cr_calc","mept_image_type","Member Capitated Relationship Date","Image Type","char"
"dbo","cmc_mept_cr_calc","mept_seq_no","Member Capitated Relationship Date","Sequence Number","smallint"
"dbo","cmc_mept_cr_calc","mept_create_dtm","Member Capitated Relationship Date","Create Date Time","datetime"
"dbo","cmc_mept_cr_calc","mepr_term_dt","Member Capitated Relationship Date","Termination Date","datetime"
"dbo","cmc_mept_cr_calc","mept_row_id","Member Capitated Relationship Date","Row ID","numeric"
"dbo","cmc_mept_cr_calc","grgr_ck","Member Capitated Relationship Date","Group Contrived Key","int"
"dbo","cmc_mept_cr_calc","prpr_id","Member Capitated Relationship Date","Provider ID","char"
"dbo","cmc_mept_cr_calc","mepr_source","Member Capitated Relationship Date","Source","char"
"dbo","cmc_mept_cr_calc","mepr_demgrphc_ind","Member Capitated Relationship Date","Demographic Indicator","char"
"dbo","cmc_mept_cr_calc","mepr_cr_eff_dt","Member Capitated Relationship Date","Capitation Effective Date","datetime"
"dbo","cmc_mept_cr_calc","mepr_cr_term_dt","Member Capitated Relationship Date","Capitation Termination Date","datetime"
"dbo","cmc_mept_cr_calc","mepr_cap_rel_ent","Member Capitated Relationship Date","Capitated Related Entity","char"
"dbo","cmc_mept_cr_calc","pdpd_cap_ret_mos","Member Capitated Relationship Date","Retro months","smallint"
"dbo","cmc_mept_cr_calc","mept_match_eff_dt","Member Capitated Relationship Date","Match Effective Date","datetime"
"dbo","cmc_mept_cr_calc","mept_sts","Member Capitated Relationship Date","Status","char"
"dbo","cmc_mept_cr_calc","mept_addl_data","Member Capitated Relationship Date","Additional Data","varchar"
"dbo","cmc_mept_cr_calc","sys_last_upd_dtm","Member Capitated Relationship Date","Last Update Datetime","datetime"
"dbo","cmc_mept_cr_calc","sys_usus_id","Member Capitated Relationship Date","Last Update User ID","varchar"
"dbo","cmc_mept_cr_calc","sys_dbuser_id","Member Capitated Relationship Date","Last Update DBMS User ID","varchar"
