"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_grrt_rate_data","grgr_ck","Premium Rate Factoring Data","Group Contrived Key","int"
"dbo","cmc_grrt_rate_data","grrt_eff_dt","Premium Rate Factoring Data","Data Row Effective Date","datetime"
"dbo","cmc_grrt_rate_data","grrt_term_dt","Premium Rate Factoring Data","Data Row Termination Date","datetime"
"dbo","cmc_grrt_rate_data","grrt_rt_st","Premium Rate Factoring Data","Rating State","char"
"dbo","cmc_grrt_rate_data","grrt_rt_cnty","Premium Rate Factoring Data","Rating County","char"
"dbo","cmc_grrt_rate_data","grrt_rt_area","Premium Rate Factoring Data","Rating Area","char"
"dbo","cmc_grrt_rate_data","grrt_sic","Premium Rate Factoring Data","Standard Industry Class/No. Amer. Indust. Class. Sys. (SIC/NAICS)","char"
"dbo","cmc_grrt_rate_data","grrt_cap_modifier","Premium Rate Factoring Data","Capitation Modifier","char"
"dbo","cmc_grrt_rate_data","grrt_lock_token","Premium Rate Factoring Data","Lock Token","smallint"
"dbo","cmc_grrt_rate_data","atxr_source_id","Premium Rate Factoring Data","Attachment Source Id","datetime"
"dbo","cmc_grrt_rate_data","sys_last_upd_dtm","Premium Rate Factoring Data","Last Update Datetime","datetime"
"dbo","cmc_grrt_rate_data","sys_usus_id","Premium Rate Factoring Data","Last Update User ID","varchar"
"dbo","cmc_grrt_rate_data","sys_dbuser_id","Premium Rate Factoring Data","Last Update DBMS User ID","varchar"
